arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
null,-,sphinx-doc__sphinx-8475,sphinx,False,False,0.0,0.0,0.005221932114882507,1,1
null,-,sphinx-doc__sphinx-8548,sphinx,True,False,1.0,0.0,0.05060240963855422,2,2
null,-,sphinx-doc__sphinx-8551,sphinx,True,True,0.5,0.5,0.015665796344647518,2,2
null,-,sphinx-doc__sphinx-8621,sphinx,False,False,0.0,0.0,0.0,1,1
null,-,sphinx-doc__sphinx-8638,sphinx,True,False,1.0,0.0,0.0,1,1
null,-,sphinx-doc__sphinx-8721,sphinx,False,False,0.0,0.0,0.015625,1,1
null,-,sphinx-doc__sphinx-9229,sphinx,True,True,1.0,0.25,0.020151133501259445,1,4
null,-,sphinx-doc__sphinx-9258,sphinx,True,False,1.0,0.0,0.0,1,1
null,-,sphinx-doc__sphinx-9281,sphinx,True,False,1.0,0.0,0.007772020725388601,1,1
null,-,sphinx-doc__sphinx-9320,sphinx,False,False,0.0,0.0,0.0,1,4
null,-,sphinx-doc__sphinx-9367,sphinx,True,False,1.0,0.0,0.007792207792207792,1,1
null,-,sphinx-doc__sphinx-9461,sphinx,True,False,1.0,0.0,0.037825059101654845,3,9
null,-,sphinx-doc__sphinx-9698,sphinx,True,False,1.0,0.0,0.0,1,1
null,-,sphinx-doc__sphinx-9711,sphinx,False,False,0.0,0.0,0.012853470437017995,1,1
null,-,pydata__xarray-2905,xarray,True,False,1.0,0.0,0.006191950464396285,1,1
null,-,pydata__xarray-3151,xarray,False,False,0.0,0.0,0.02108433734939759,1,1
null,-,pydata__xarray-3677,xarray,True,True,1.0,1.0,0.003105590062111801,1,1
null,-,pydata__xarray-3993,xarray,True,False,1.0,0.0,0.054945054945054944,2,2
null,-,pydata__xarray-4075,xarray,False,False,0.0,0.0,0.01812688821752266,1,1
null,-,pydata__xarray-4094,xarray,True,False,1.0,0.0,0.006191950464396285,1,1
